Experimento,Speedup,
# Threads,Speedup,Speedup Linear
1,1,1
2,1.2,2
3,1.82,3
4,2.38,4
5,2.88,5
6,3.44,6
7,3.86,7
8,4.18,8
9,4.47,9
10,4.73,10
11,5.04,11
12,5.37,12
24,7.83,24
