FID,gid,UF,nome,Censo,Populacao_Masculina,Populacao_Feminina
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3089,3120,MINAS GERAIS,Carbonita,2010,4682,4466
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-307d,1890,CEARÁ,Porteiras,2010,7366,7695
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-307c,233,BAHIA,Riachão do Jacuípe,2010,16169,17003
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-307a,4842,SÃO PAULO,São João da Boa Vista,2010,40546,43093
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3071,1516,CEARÁ,Madalena,2010,9083,9005
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3070,880,GOIÁS,Israelândia,2010,1463,1424
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3064,2613,MINAS GERAIS,Ouro Fino,2010,15818,15750
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-305d,5072,TOCANTINS,Marianópolis do Tocantins,2010,2318,2034
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3056,188,BAHIA,Santa Cruz da Vitória,2010,3422,3251
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3055,469,RIO GRANDE DO SUL,Guabiju,2010,806,792
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3054,4581,SÃO PAULO,Jaboticabal,2010,34794,36868
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-304a,3303,MINAS GERAIS,Curral de Dentro,2010,3500,3413
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-303d,42,RIO GRANDE DO SUL,Santa Maria do Herval,2010,3101,2952
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-303c,1554,CEARÁ,Caririaçu,2010,12812,13581
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3031,5031,TOCANTINS,Figueirópolis,2010,2705,2635
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-3017,735,ACRE,Rio Branco,2010,163592,172446
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ffe,3415,PERNAMBUCO,Maraial,2010,6170,6060
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ffd,4735,SÃO PAULO,Pindamonhangaba,2010,72288,74707
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fee,4198,SÃO PAULO,Araçatuba,2010,87329,94250
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fe4,1909,CEARÁ,Salitre,2010,7770,7683
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fe1,2562,PARAÍBA,Alagoa Grande,2010,13861,14618
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fdf,5450,SANTA CATARINA,Paulo Lopes,2010,3404,3288
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fde,3766,SÃO PAULO,Gavião Peixoto,2010,2284,2135
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fd3,3838,RONDÔNIA,Presidente Médici,2010,11309,11010
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fc8,1517,CEARÁ,Maracanaú,2010,102078,106979
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fbf,5053,SÃO PAULO,Itariri,2010,7794,7677
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fbd,2753,PARANÁ,Francisco Alves,2010,3224,3194
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fbc,1174,ESPIRITO SANTO,Ecoporanga,2010,11566,11646
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fa6,1769,SÃO PAULO,Votorantim,2010,54013,54796
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2fa5,5103,PARANÁ,Flor da Serra do Sul,2010,2398,2328
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f99,748,ACRE,Brasiléia,2010,11037,10361
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f78,1865,CEARÁ,Pacujá,2010,2902,3084
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f77,2510,PARAÍBA,Juazeirinho,2010,8366,8410
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f65,4998,SANTA CATARINA,Xanxerê,2010,21581,22547
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f62,248,BAHIA,Wenceslau Guimarães,2010,11475,10714
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f5e,1503,CEARÁ,Itatira,2010,9589,9305
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f49,5160,SANTA CATARINA,Agronômica,2010,2497,2407
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f48,1403,CEARÁ,Aiuaba,2010,8117,8086
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f45,1891,CEARÁ,Potengi,2010,4987,5289
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f42,3669,MINAS GERAIS,Lajinha,2010,9828,9781
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f2f,1405,CEARÁ,Altaneira,2010,3317,3539
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f2e,187,BAHIA,Santa Cruz Cabrália,2010,13331,12933
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f29,709,ALAGOAS,Chã Preta,2010,3644,3502
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f15,3748,MINAS GERAIS,Miraí,2010,6944,6864
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f13,5537,TOCANTINS,Colméia,2010,4368,4243
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2f0e,1914,RIO GRANDE DO NORTE,Taboleiro Grande,2010,1178,1139
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2efa,3460,PARANÁ,Alto Paraná,2010,6842,6821
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ef9,1725,CEARÁ,Morada Nova,2010,31143,30922
vw_razao_de_sexo.fid--33501df1_157d3a3b533_-2ee4,4059,PARANÁ,Jaguapitã,2010,6109,6116
